Audit_Risk;CR;DE;TDR;ROA;ROE;GPM;OM;AT;GROWTH;CFD;SIZE;AGE;IT;RT;INDUSTRY;AUDIT_TYPE;OWNERSHIP
High;1,11;3,00;0,78;0,43;-0,02;1,83;0,08;0,77;0,42;0,04;11,00;21;4,7;4,35;Retail/Trading;Non-Big4;Private
Low;1,06;0,1047;0,78;0,03;-0,01;2,56;0,02;0,88;0,6;0,09;7,00;57,08;3,69;4,43;Manufacturing;Non-Big4;State-owned
Low;1,07;0,1564;0,78;0,12;-0,01;1,17;0,04;0,83;2;0;2,00;26,17;3,9;4,86;Manufacturing;Non-Big4;Private
Medium;1,04;3,00;0,76;0,07;-0,01;1,08;0,02;0,8;2,94;0,23;29,00;22,67;4,31;4,89;Manufacturing;Non-Big4;Private
Low;1,63;0,5165;0,1;0,00;0,00;105,70;0,22;105,70;0,1;0,26;13,88;27,42;1,55;10,65;Retail/Trading;Big4;Private
Low;1,79;0,0414;0,05;0,00;0,00;37,50;0,47;37,50;0,05;0,21;14,04;25,83;1,62;7,9;Retail/Trading;Non-Big4;Private
Medium;1,02;3,00;0,75;0,09;0;1,12;0,04;0,82;2,63;0,03;15,00;22,58;3,82;4,55;Retail/Trading;Non-Big4;Private
High;1,21;2,00;0,69;0,56;0;1,24;0,07;0,83;0,51;0,24;22,00;30;4,56;4,33;Manufacturing;Non-Big4;Private
High;1,12;3,00;0,77;0,01;0;4,45;0,16;0,76;0,23;0,26;29,00;19;4,2;4,73;Retail/Trading;Non-Big4;State-owned
Low;0,96;-0,0287;0,77;0,04;0,01;2,76;0,02;0,88;0,53;0,09;11,00;39,83;4,01;4,32;Manufacturing;Non-Big4;Private
High;1,1;3,00;0,67;0,13;0,01;1,10;0,06;0,88;2,48;0,16;6,00;52,5;3,77;5,22;Manufacturing;Non-Big4;Private
Medium;1,07;3,00;0,78;0,19;0,02;2,19;0,04;0,84;0,61;0,18;8,00;32,42;3,17;5,56;Manufacturing;Big4;Private
High;1,29;3,00;0,77;0,07;0,02;1,26;0,01;0,98;2,31;0,3;20,00;20,67;3,98;5,2;Manufacturing;Non-Big4;State-owned
High;1,04;2,00;0,74;0,07;0,02;1,13;0,00;0,89;4,22;0,07;23,00;42,83;4,09;5,31;Manufacturing;Non-Big4;Private
Medium;2,22;0,1941;0,18;0,03;0,03;6,11;0,11;6,11;0,18;0,7;14;22,5;4,79;6,42;Services;Non-Big4;Private
High;1,37;2,00;0,71;0,19;0,03;4,21;0,02;0,92;0,94;0,29;2,00;18,08;4,2;4,67;Retail/Trading;Non-Big4;State-owned
High;1,29;2,00;0,72;0,51;0,03;1,50;0,06;0,93;0,93;0,23;12,00;28,46;3,99;5,12;Retail/Trading;Non-Big4;Private
Medium;1,65;0,8049;0,02;0,04;0,04;39,06;0,31;39,06;0,02;0,49;13,88;23;2,92;5,94;Services;Big4;Private
